Item,Type,Chapter,Official source,Version,Access date,Tenant validation required,Status,Notes
V-001,Authentication behavior,5,FortiCNAPP API 2.0 source snapshot: POST /api/v2/access/tokens,2.0,2026-08-13,Yes,Verified in official documentation,Token request contract is documented; expiry and renewal behavior require tenant evidence.
V-002,Permission,5,FortiCNAPP API 2.0 source snapshot: organization-level access conventions,2.0,2026-08-13,Yes,Verify in tenant,Regular-user and service-user scope distinctions are documented; least-privilege role behavior must be observed.
V-003,Product capability,5,"FortiCNAPP API 2.0 source snapshot: Org-Access, Account-Name, UserProfile, OrganizationInfo",2.0,2026-08-13,Yes,Verify in tenant,"Account, sub-account, and organization context vary by tenant and token."
V-004,HTTP behavior,6,FortiCNAPP API 2.0 source snapshot: response and rate-limit conventions,2.0,2026-08-13,Yes,Verified in official documentation,Header names and general conventions are documented; capture actual response headers in tenant tests.
V-005,HTTP behavior,6,FortiCNAPP API 2.0 source snapshot: response status codes and error envelope,2.0,2026-08-13,Yes,Verified in official documentation,"Documented codes include 200, 201, 204, 400, 401, 403, 404, 405, 409, 429, 500, and 503."
V-006,Rate-limit behavior,6,FortiCNAPP API 2.0 source snapshot: 480 requests per hour and RateLimit headers,2.0,2026-08-13,Yes,Verify in tenant,"Module retry, exponential backoff, and jitter are project behavior; observed reset behavior requires tenant validation."
V-007,API endpoint,6,FortiCNAPP API 2.0 source snapshot: /api/v2/schemas/{type} and subtype route,2.0,2026-08-13,Yes,Verified in official documentation,Specific schema availability and properties remain tenant and release dependent.
V-008,Result limit,7,FortiCNAPP API 2.0 source snapshot: pagination overview,2.0,2026-08-13,Yes,Verified in official documentation,General limits are 5000 rows per page and 500000 per result set; endpoint applicability requires validation.
V-009,Response property,7,FortiCNAPP API 2.0 source snapshot: Inventory and Entities schemas,2.0,2026-08-13,Yes,Verify in tenant,Do not normalize fields until a controlled fixture and schema contract are reviewed.
V-010,Report metric,7,Chapter 1 synthetic scope-register design,Synthetic,2026-08-13,No,Synthetic design pattern,Coverage denominator and missing-data treatment are module-derived.
V-011,API endpoint,8,FortiCNAPP API 2.0 source snapshot: /api/v2/Datasources routes,2.0,2026-08-13,Yes,Verified in official documentation,"Datasource names, fields, authorization, and population remain tenant dependent."
V-012,LQL field,8,FortiCNAPP API 2.0 source snapshot: Queries validate and execute routes,2.0,2026-08-13,Yes,Verify in tenant,Language examples and fields require current datasource discovery and validation.
V-013,LQL datasource,9,FortiCNAPP API 2.0 source snapshot: Queries execute routes,2.0,2026-08-13,Yes,Verify in tenant,"Result shape, limits, and known-positive behavior require controlled fixtures."
V-014,Product capability,9,FortiCNAPP API 2.0 source snapshot: Policies and Exceptions routes,2.0,2026-08-13,Yes,Verify in tenant,Policy creation is state changing and remains outside baseline examples until safety review.
V-015,Compliance mapping,10,FortiCNAPP API 2.0 source snapshot: Configs ComplianceEvaluations search,2.0,2026-08-13,Yes,Verify in tenant,"Datasets are documented; fields, framework mappings, and permissions require validation."
V-016,Retention period,10,FortiCNAPP API 2.0 source snapshot: ComplianceEvaluations description,2.0,2026-08-13,Yes,Verify in tenant,"The source describes evaluations within the last 90 days, which must be reverified before publication."
V-017,Response property,11,FortiCNAPP API 2.0 source snapshot: vulnerability search and observation schemas,2.0,2026-08-13,Yes,Verify in tenant,"Host, container, and current-observation field mapping requires sanitized fixtures."
V-018,Response property,11,"FortiCNAPP API 2.0 source snapshot: evalGuid, vulnId, imageId, mid examples",2.0,2026-08-13,Yes,Verify in tenant,Stable record identity and deduplication keys require observed evidence.
V-019,Product capability,12,"FortiCNAPP API 2.0 source snapshot: TeamUsers, UserGroups, Activities, and Entities routes",2.0,2026-08-13,Yes,Verify in tenant,Do not infer cloud entitlement relationships from user-management APIs.
V-020,Product capability,12,"FortiCNAPP API 2.0 source snapshot: Inventory, Entities, and vulnerability routes",2.0,2026-08-13,Yes,Verify in tenant,Exposure relationships require supported fields or approved external enrichment.
V-021,Response property,13,FortiCNAPP API 2.0 source snapshot: Alerts routes,2.0,2026-08-13,Yes,Verify in tenant,"Alert fields, scope responses, and enums require sanitized fixtures."
V-022,API endpoint,13,"FortiCNAPP API 2.0 source snapshot: Alerts scope, entities, and entity-details routes",2.0,2026-08-13,Yes,Verify in tenant,Available context can be partial and scope support must be observed.
V-023,Report metric,14,Project reporting architecture,Synthetic,2026-08-13,No,Synthetic design pattern,Native provider facts and PowerShell-derived conclusions must remain distinguishable.
V-024,Report metric,14,Project executive-metrics framework,Synthetic,2026-08-13,No,Synthetic design pattern,"Metrics require denominator, scope, freshness, exclusions, and confidence."
V-025,Product capability,15,Project scheduling design,Synthetic,2026-08-13,Yes,Synthetic design pattern,Scheduler-specific behavior will be tested on supported operating systems.
V-026,HTTP behavior,15,Project reliability architecture and API source snapshot,2.0 and synthetic,2026-08-13,Yes,Synthetic design pattern,Retries are bounded project behavior and must be validated with injected failures.
V-027,Product capability,16,GitHub Releases-only distribution design,Synthetic,2026-08-13,No,Synthetic design pattern,No public release has been created.
V-028,Product capability,16,Build and package verification design,Synthetic,2026-08-13,No,Synthetic design pattern,"Release archive, checksums, notices, and SBOM remain release-candidate work."
